NAME,Description,RiskValue
ACCESS_CHECKIN_PROPERTIES,"Allows read/write access to the ""properties"" table in the checkin database, to change values that get uploaded.",
ACCESS_COARSE_LOCATION,"Lar appen se den omtrenlige posisjonen din. Denne posisjonen hentes fra posisjonstjenester som benytter posisjonskilder som for eksamepl basestasjoner og Wi-Fi. Disse posisjonstejenestene må være slått på og tilgjenbgeklig for enheten din, for at appen skal bruke dem. Apper kan bruke dette til ut omtrent hvor du er.",
ACCESS_FINE_LOCATION,"Lar appen se den nøyaktige posisjonen din ved hjelp av GPS (Global Positioning System) eller posisjonstjenester for nettverk, for for eksempel basestasjoner og Wi-Fi. Disse posisjonstejenestene må være slått på og tilgjenbgeklig for enheten din, for at appen skal bruke dem. Apper kan bruke dette til å fastslå hvor du er, og funksjonen kan medføre økt batteribruk",
ACCESS_LOCATION_EXTRA_COMMANDS,Allows an application to access extra location provider commands,
ACCESS_MOCK_LOCATION,Allows an application to create mock location providers for testing,
ACCESS_NETWORK_STATE,Tillater en app å vise tilstanden for alle netverk.,
ACCESS_SURFACE_FLINGER,Allows an application to use SurfaceFlinger's low level features.,
ACCESS_WIFI_STATE,Tillater en app å vise informasjonen om Wi-Fi status.,
ACCOUNT_MANAGER,Allows applications to call into AccountAuthenticators.,
ADD_VOICEMAIL,Allows an application to add voicemails into the system.,
AUTHENTICATE_ACCOUNTS,Tillater en app å be om godkjenningstegn?,
BATTERY_STATS,Allows an application to collect battery statistics,
BIND_ACCESSIBILITY_SERVICE,"Must be required by an AccessibilityService, to ensure that only the system can bind to it.",
BIND_APPWIDGET,Allows an application to tell the AppWidget service which application can access AppWidget's data.,
BIND_DEVICE_ADMIN,"Must be required by device administration receiver, to ensure that only the system can interact with it.",
BIND_DREAM_SERVICE,"Must be required by an DreamService, to ensure that only the system can bind to it.",
BIND_INPUT_METHOD,"Must be required by an InputMethodService, to ensure that only the system can bind to it.",
BIND_NFC_SERVICE,Must be required by a HostApduService or OffHostApduService to ensure that only the system can bind to it.,
BIND_NOTIFICATION_LISTENER_SERVICE,"Must be required by an NotificationListenerService, to ensure that only the system can bind to it.",
BIND_PRINT_SERVICE,"Must be required by a PrintService, to ensure that only the system can bind to it.",
BIND_REMOTEVIEWS,"Must be required by a RemoteViewsService, to ensure that only the system can bind to it.",
BIND_TEXT_SERVICE,Must be required by a TextService (e.g.,
BIND_TV_INPUT,Must be required by a TvInputService to ensure that only the system can bind to it.,
BIND_VOICE_INTERACTION,"Must be required by a VoiceInteractionService, to ensure that only the system can bind to it.",
BIND_VPN_SERVICE,"Must be required by a VpnService, to ensure that only the system can bind to it.",
BIND_WALLPAPER,"Must be required by a WallpaperService, to ensure that only the system can bind to it.",
BLUETOOTH,Tillater en app å vise konfigurasjon av den lokale Bluetooth-telefonen og å foreta og godta tilkoblinger med sammenkoblede enheter.,
BLUETOOTH_ADMIN,Allows applications to discover and pair bluetooth devices,
BLUETOOTH_PRIVILEGED,"Allows applications to pair bluetooth devices without user interaction, and to allow or disallow phonebook access or message access.",
BODY_SENSORS,"Allows an application to access data from sensors that the user uses to measure what is happening inside his/her body, such as heart rate.",
BRICK,Required to be able to disable the device (very dangerous!).,
BROADCAST_PACKAGE_REMOVED,Allows an application to broadcast a notification that an application package has been removed.,
BROADCAST_SMS,Allows an application to broadcast an SMS receipt notification.,
BROADCAST_STICKY,Tillater en app å sende klebende sendinger som blir værende når sendingen er klar. Onsinnede apper kan gjøre telefonen treg eller ustabil ved å få den til å bruke for mye minne.,
BROADCAST_WAP_PUSH,Allows an application to broadcast a WAP PUSH receipt notification.,
CALL_PHONE,Tillater appen å ringe telefonnumre uten din innblanding. Onsinnende apper kan føre til uventede samtaler på telefonregningen. Merk at dette ikke taller appen å ringe nødnumre.,
CALL_PRIVILEGED,"Allows an application to call any phone number, including emergency numbers, without going through the Dialer user interface for the user to confirm the call being placed.",
CAMERA,Tillater en app å når som helst ta bilder og videor med kameraet.,
CAPTURE_AUDIO_OUTPUT,Allows an application to capture audio output.,
CAPTURE_SECURE_VIDEO_OUTPUT,Allows an application to capture secure video output.,
CAPTURE_VIDEO_OUTPUT,Allows an application to capture video output.,
CHANGE_COMPONENT_ENABLED_STATE,Allows an application to change whether an application component (other than its own) is enabled or not.,
CHANGE_CONFIGURATION,"Allows an application to modify the current configuration, such as locale.",
CHANGE_NETWORK_STATE,Lar appen endre innstilligene for nettverkstilknytning.,
CHANGE_WIFI_MULTICAST_STATE,Lar appen motta pakker som sendes til alle enhetene på et Wi-Fi-nettverk ved hjelp av multikastingsadresser. Dette bruker mer strøm enn modusen uten multikasting.,
CHANGE_WIFI_STATE,Tillater en app å koble til og fra Wi-Fi-tilgangspunkter og å foreta endringer på konfigurerte Wi-Fi-nettverk.,
CLEAR_APP_CACHE,Allows an application to clear the caches of all installed applications on the device.,
CLEAR_APP_USER_DATA,Allows an application to clear user data.,
CONTROL_LOCATION_UPDATES,Allows enabling/disabling location update notifications from the radio.,
DELETE_CACHE_FILES,Allows an application to delete cache files.,
DELETE_PACKAGES,Allows an application to delete packages.,
DEVICE_POWER,Allows low-level access to power management.,
